system:index,B11,B12,B2,B3,B4,B8,MNDWI,NDBI,NDVI,NDWI,label,rand,.geo
10542,0.41184998,0.375,0.1947,0.2369,0.2892,0.35405,-0.2672501,0.084092475,0.09414966,-0.19486769,7,0.4380539638801826,"{""type"":""MultiPoint"",""coordinates"":[]}"
10543,0.4013,0.3503,0.2018,0.241,0.2898,0.3816,-0.2532838,0.056446515,0.09090907,-0.18791734,7,0.41008126089847163,"{""type"":""MultiPoint"",""coordinates"":[]}"
10544,0.6736,0.5879,0.3078,0.4048,0.4929,0.5532,-0.24991037,0.10487745,0.056310706,-0.15841179,7,0.10360430061078296,"{""type"":""MultiPoint"",""coordinates"":[]}"
10545,0.4216,0.3833,0.1822,0.2304,0.284,0.3573,-0.2887519,0.08729403,0.100253806,-0.22247747,7,0.11212278721513524,"{""type"":""MultiPoint"",""coordinates"":[]}"
10546,0.4146,0.38,0.1882,0.2374,0.2878,0.3497,-0.2865566,0.09593059,0.11111111,-0.23702666,7,0.10694056110137484,"{""type"":""MultiPoint"",""coordinates"":[]}"
10547,0.408,0.3721,0.1914,0.2322,0.2856,0.3516,-0.2734815,0.08002687,0.08539506,-0.18592298,7,0.16216074453531915,"{""type"":""MultiPoint"",""coordinates"":[]}"
10548,0.2913,0.2234,0.0922,0.1316,0.1696,0.2475,-0.38730088,0.079741396,0.1778185,-0.3015873,7,0.001079435983698529,"{""type"":""MultiPoint"",""coordinates"":[]}"
10549,0.4209,0.3826,0.187,0.2314,0.2862,0.354,-0.28275862,0.08627491,0.10798123,-0.21677329,7,0.9949616723230159,"{""type"":""MultiPoint"",""coordinates"":[]}"
10550,0.45245,0.4056,0.1945,0.2474,0.2987,0.3722,-0.2918379,0.093336344,0.11102449,-0.2111324,7,0.4881826324974322,"{""type"":""MultiPoint"",""coordinates"":[]}"
10551,0.27655,0.2072,0.08375,0.1259,0.1576,0.24985,-0.3942444,0.043603487,0.2250677,-0.33639172,7,0.4520007913156684,"{""type"":""MultiPoint"",""coordinates"":[]}"
10552,0.3942,0.3561,0.1972,0.233,0.2798,0.3952,-0.30610186,0.057687122,0.14269911,-0.21525218,7,0.5491046924876211,"{""type"":""MultiPoint"",""coordinates"":[]}"
10553,0.5136,0.4459,0.2268,0.27,0.34,0.4197,-0.3216576,0.108628176,0.11529262,-0.22610015,7,0.325409354900697,"{""type"":""MultiPoint"",""coordinates"":[]}"
10554,0.42305,0.38345,0.1957,0.2393,0.2906,0.365,-0.2741625,0.0850639,0.10446839,-0.19893672,7,0.06844625972224039,"{""type"":""MultiPoint"",""coordinates"":[]}"
10555,0.43075,0.39335,0.1475,0.1972,0.26165,0.36545,-0.3891388,0.09236937,0.13800652,-0.28476134,7,0.6538425936500625,"{""type"":""MultiPoint"",""coordinates"":[]}"
10556,0.40395,0.36575,0.1959,0.2393,0.2848,0.36180001,-0.2656481,0.07533962,0.093247384,-0.19186904,7,0.7336288300039087,"{""type"":""MultiPoint"",""coordinates"":[]}"
10557,0.4093,0.3735,0.1992,0.2358,0.2907,0.3476,-0.2662413,0.085188694,0.08999688,-0.18594338,7,0.5281099906980518,"{""type"":""MultiPoint"",""coordinates"":[]}"
10558,0.46435,0.38945,0.1728,0.2053,0.2504,0.4296,-0.39543372,0.037465338,0.27207053,-0.34585202,7,0.718990046027044,"{""type"":""MultiPoint"",""coordinates"":[]}"
10559,0.6754,0.6066,0.3484,0.4488,0.5404,0.5952,-0.20918874,0.07502314,0.048625793,-0.14204544,7,0.7773518311372339,"{""type"":""MultiPoint"",""coordinates"":[]}"
10560,0.4096,0.3727,0.1986,0.2358,0.2912,0.3488,-0.2666765,0.092594944,0.09102523,-0.17848894,7,0.4816062870858707,"{""type"":""MultiPoint"",""coordinates"":[]}"
10561,0.4283,0.3921,0.147,0.19530001,0.2573,0.36360002,-0.38774216,0.091559894,0.14564906,-0.2906912,7,0.7285091654063213,"{""type"":""MultiPoint"",""coordinates"":[]}"
10562,0.46485,0.41425,0.203,0.2574,0.3112,0.39515,-0.2893229,0.08217599,0.09960632,-0.20454665,7,0.5973842297601883,"{""type"":""MultiPoint"",""coordinates"":[]}"
10563,0.619,0.5622,0.3144,0.4116,0.494,0.55,-0.20628683,0.07144046,0.05246167,-0.1440032,7,0.8626648794013286,"{""type"":""MultiPoint"",""coordinates"":[]}"
10564,0.36,0.26725,0.1575,0.2063,0.2623,0.3732,-0.26437166,-0.013223841,0.17881925,-0.28461006,7,0.6230719172419651,"{""type"":""MultiPoint"",""coordinates"":[]}"
